id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV
1,Abia,Q4 2020,19,0,4,0,3,0,0,5,0,0,3,0,0,0,0,0,2
2,Adamawa,Q4 2020,57,0,3,2,0,1,0,17,1,0,3,10,0,0,0,0,0
3,Akwa Ibom,Q4 2020,15,0,0,0,2,0,0,1,4,0,1,0,0,0,0,1,0
4,Anambra,Q4 2020,43,0,3,0,9,0,0,4,0,0,6,1,0,1,0,0,6
5,Bauchi,Q4 2020,74,0,11,3,0,5,2,21,7,2,4,3,0,0,0,0,8
6,Bayelsa,Q4 2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Benue,Q4 2020,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Borno,Q4 2020,11,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Cross River,Q4 2020,23,0,1,2,1,1,0,2,3,1,0,4,0,0,0,0,0
10,Delta,Q4 2020,70,0,10,0,4,0,0,8,1,0,1,0,0,0,0,0,17
11,Ebonyi,Q4 2020,9,0,8,0,0,0,0,6,3,0,0,0,0,0,0,0,3
12,Edo,Q4 2020,77,0,9,2,2,2,0,4,5,0,1,0,0,0,0,0,0
13,Ekiti,Q4 2020,23,0,1,0,4,0,0,7,2,0,1,1,0,1,0,0,4
14,Enugu,Q4 2020,10,0,0,1,10,0,0,2,3,0,1,0,0,0,0,0,21
15,FCT,Q4 2020,284,1,18,4,7,1,4,13,18,0,18,2,0,1,0,2,91
16,Gombe,Q4 2020,59,1,2,1,1,0,0,7,8,0,1,0,0,0,0,0,4
17,Imo,Q4 2020,11,0,3,0,1,0,0,1,4,1,0,1,0,0,0,0,2
18,Jigawa,Q4 2020,118,1,11,2,0,12,0,7,1,0,8,10,0,0,0,0,6
19,Kaduna,Q4 2020,194,1,13,0,5,3,4,15,13,8,22,2,2,0,0,0,35
20,Kano,Q4 2020,90,0,4,0,2,0,2,7,13,0,6,0,0,0,0,2,3
21,Katsina,Q4 2020,80,0,1,2,3,0,0,4,7,3,3,1,1,0,0,0,1
22,Kebbi,Q4 2020,45,0,3,2,0,0,0,6,4,0,1,0,0,0,0,0,1
23,Kogi,Q4 2020,91,0,8,4,8,1,0,16,8,2,6,6,0,1,0,1,26
24,Kwara,Q4 2020,105,1,5,3,5,0,0,18,6,2,0,0,0,0,0,0,15
25,Lagos,Q4 2020,46,0,3,12,23,0,0,4,6,6,3,0,0,1,0,3,0
26,Nasarawa,Q4 2020,114,0,6,4,1,0,0,12,52,5,14,2,0,0,0,0,32
27,Niger,Q4 2020,102,0,1,1,4,0,0,4,0,0,8,1,1,0,0,0,4
28,Ogun,Q4 2020,254,0,22,10,28,4,1,12,20,1,13,6,0,0,0,0,2
29,Ondo,Q4 2020,107,0,7,3,3,0,0,14,13,1,4,1,1,0,0,1,0
30,Osun,Q4 2020,93,0,11,5,3,2,0,8,10,2,7,1,1,0,0,0,0
31,Oyo,Q4 2020,128,1,15,5,14,1,0,14,18,1,6,0,2,0,0,4,0
32,Plateau,Q4 2020,18,0,2,3,9,0,0,3,7,0,0,0,0,2,0,0,1
33,Rivers,Q4 2020,19,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,2
34,Sokoto,Q4 2020,49,0,0,0,0,2,0,2,2,0,1,4,0,0,0,0,0
35,Taraba,Q4 2020,57,0,2,1,0,1,0,4,7,0,3,0,5,0,0,0,12
36,Yobe,Q4 2020,28,0,9,1,0,2,0,7,5,0,1,0,0,0,0,0,0
37,Zamfara,Q4 2020,40,0,2,1,0,5,2,6,0,1,2,0,0,0,0,0,1
38,Abia,Q1 2021,7,0,10,1,4,0,0,3,0,0,3,0,0,0,0,0,7
39,Adamawa,Q1 2021,60,0,7,0,0,4,0,16,0,0,5,14,1,0,0,0,3
40,Akwa Ibom,Q1 2021,15,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,2
41,Anambra,Q1 2021,59,0,6,1,21,0,0,6,1,0,4,1,0,0,0,0,9
42,Bauchi,Q1 2021,77,0,16,3,0,0,1,18,15,1,4,2,1,0,0,0,14
43,Bayelsa,Q1 2021,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
44,Benue,Q1 2021,46,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1
45,Borno,Q1 2021,31,0,3,0,0,0,0,2,5,0,2,1,0,0,0,0,2
46,Cross River,Q1 2021,17,0,0,2,2,0,0,5,3,0,0,0,0,0,0,0,0
47,Delta,Q1 2021,68,1,6,2,7,0,0,5,3,0,2,0,0,0,0,0,11
48,Ebonyi,Q1 2021,13,0,6,0,0,0,0,5,0,0,2,0,0,0,0,0,6
49,Edo,Q1 2021,68,0,2,1,2,0,0,5,4,0,6,0,0,0,0,0,0
50,Ekiti,Q1 2021,29,0,1,1,4,0,0,1,0,0,0,0,0,1,0,0,4
51,Enugu,Q1 2021,3,0,4,3,7,0,0,5,7,0,5,0,0,0,0,0,41
52,FCT,Q1 2021,158,0,17,4,7,2,0,1,36,0,34,1,0,1,0,0,125
53,Gombe,Q1 2021,33,0,9,7,2,3,0,2,11,0,4,2,0,0,0,0,9
54,Imo,Q1 2021,5,0,3,1,2,0,0,3,0,0,0,0,0,0,0,0,2
55,Jigawa,Q1 2021,82,1,7,1,0,12,0,6,6,0,5,7,0,0,0,1,4
56,Kaduna,Q1 2021,211,1,22,4,5,0,0,30,12,3,16,2,3,0,0,7,48
57,Kano,Q1 2021,110,1,8,0,1,2,4,17,6,1,12,2,0,0,0,3,17
58,Katsina,Q1 2021,74,0,2,0,3,0,0,3,7,0,2,0,0,0,0,0,1
59,Kebbi,Q1 2021,38,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0
60,Kogi,Q1 2021,105,0,8,5,10,0,0,19,6,0,11,9,4,1,0,0,35
61,Kwara,Q1 2021,91,0,5,6,1,1,1,17,2,0,0,0,0,0,0,0,32
